"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"ABGR4","","Abelia ×grandiflora","NA (L48)","USA(FL, NC)","Dicot","Plantae","Perennial","Shrub","Spring, Summer, Fall","","None","High","No","Yes","No","Purple","Yes","Dark Green","Dense","Moderate","Medium","Brown","No","Multiple Stem","Rapid","4","4.0","No","Yes","Long","No","None","Yes","Semi-Erect","None","Yes","Yes","No","None","None","No","Low","Medium","Medium","145","Medium","Medium","5.5","6.8","1200","2700","35","60","12","Low","Tolerant","-8","Late Summer","Routinely Available","None","Fall","Fall","No","Yes","No","Yes","No","Yes","No","No","No","No","","None","","No","None","No","No","No","","No","No","Yes","","","No","No","","No","No"
"ABES","","Abelmoschus esculentus","NA (L48, GU, PB), PR, VI","USA+(PR, VI), USA(CT, DC, FL, IL, KY, LA, MD, MI, MS, NC, PW, SC, VA)","Dicot","Plantae","Annual, Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABES","HIES","Hibiscus esculentus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMO","","Abelmoschus moschatus","NA (GU, PB), HI,PR","USA+(PR), USA(HI, PW)","Dicot","Plantae","Perennial","Subshrub, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMO","HIAB","Hibiscus abelmoschus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABIES","","Abies","NA (L48)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, GA, IA, ID, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY)","Gymnosperm","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAL3","","Abies alba","NA (L48)","USA(NC)","Gymnosperm","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAM","","Abies amabilis","NA (L48, AK, CAN)","CAN(BC), USA(AK, CA, OR, WA)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","None","High","No","Yes","No","Yellow","No","Gray-Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","20","165","No","Yes","Long","No","None","No","Erect","None","Yes","Yes","Yes","None","Low","Yes","Low","Low","None","90","None","Medium","3.3","6.0","300","700","38","260","36","None","Tolerant","-28","Late Spring","Routinely Available","Low","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","11280","Slow","Low","No","None","No","Yes","No","Low","Yes","No","No","Low","","No","No","","Yes","Yes"
"ABBA","","Abies balsamea","NA (L48, CAN, SPM)","CAN(AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","None","High","No","No","No","Yellow","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","18","60","No","Yes","Short","No","None","No","Conical","None","Yes","Yes","Yes","None","Low","Yes","Low","Medium","Low","80","Low","Medium","4.0","6.0","300","1200","13","60","20","None","Tolerant","-43","Mid Summer","Routinely Available","Medium","Fall","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","59840","Slow","Low","No","None","No","Yes","No","Low","Yes","Yes","Yes","Medium","","No","No","Low","Yes","Yes"
"ABBR","","Abies bracteata","NA (L48)","USA(CA)","Gymnosperm","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
