"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Lifespan","Low Growing Grass","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Fertility Requirement","Fire Tolerance","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (F)","Bloom Period","Propogated by Bulbs","Berry/Nut/Seed Product","Palatable Human"
"ABGR4","","Abelia ×grandiflora","NA (L48)","USA(FL, NC)","Dicot","Plantae","Perennial","Shrub","Spring, Summer, Fall","","Yes","No","Purple","Yes","Dark Green","Dense","Moderate","Medium","Brown","No","Multiple Stem","Rapid","4","4.0","Yes","Long","No","Semi-Erect","None","Yes","Yes","No","Low","Medium","Medium","Medium","35","60","Tolerant","-8","Late Summer","No","No","No"
"ABES","","Abelmoschus esculentus","NA (L48, GU, PB), PR, VI","USA+(PR, VI), USA(CT, DC, FL, IL, KY, LA, MD, MI, MS, NC, PW, SC, VA)","Dicot","Plantae","Annual, Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABES","HIES","Hibiscus esculentus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMO","","Abelmoschus moschatus","NA (GU, PB), HI,PR","USA+(PR), USA(HI, PW)","Dicot","Plantae","Perennial","Subshrub, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMO","HIAB","Hibiscus abelmoschus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABIES","","Abies","NA (L48)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, GA, IA, ID, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY)","Gymnosperm","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAL3","","Abies alba","NA (L48)","USA(NC)","Gymnosperm","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAM","","Abies amabilis","NA (L48, AK, CAN)","CAN(BC), USA(AK, CA, OR, WA)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","Yes","No","Yellow","No","Gray-Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","20","165","Yes","Long","No","Erect","None","Yes","Yes","Yes","Low","Low","None","Medium","38","260","Tolerant","-28","Late Spring","No","No","No"
"ABBA","","Abies balsamea","NA (L48, CAN, SPM)","CAN(AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","No","No","Yellow","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","18","60","Yes","Short","No","Conical","None","Yes","Yes","Yes","Low","Medium","Low","Medium","13","60","Tolerant","-43","Mid Summer","No","No","No"
"ABBR","","Abies bracteata","NA (L48)","USA(CA)","Gymnosperm","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
